Prompt ID,Name,Purpose,Category,Audience,Available as,ChatGPT Skill,Claude Skill,LenAI Agent,CustomGPT,GitHub Source,Usage Example
brand-voice-tone-of-voice-reviewer,Tone of Voice Reviewer,"Checks short-form copy for Oliver Wyman and Marsh brand voice, house style, naming, clarity, and tone alignment.",Brand Voice,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a203be131ec8191b869ed261af54235,https://claude.ai/customize/skills?selectedId=skill_013H8ZbHfPgjxAmsR4WpSkmU,https://lenai.mmc.com/chat/assistant/6a7d9fb95f9332dd93ff732d,https://chatgpt.com/g/g-6a7ee93039f48191b7143433b9236c7b-brand-tone-voice-reviewer,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/brand-voice/brand-voice-reviewers/tone-of-voice-reviewer-prompt.md,
brand-voice-email-reviewer,Email Reviewer,"Reviews internal and external emails for brand voice, clarity, tone, structure, and readiness to send.",Brand Voice,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a203dd80b708191b902d2def1d25e54,https://claude.ai/customize/skills?selectedId=skill_019TTJjaELncDp1XJNLwciuX,https://lenai.mmc.com/chat/assistant/6a7d9aae739e35ccc4225be8,https://chatgpt.com/g/g-6a7eedbc3d2081918a609703541f0cf2-email-reviewer,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/brand-voice/brand-voice-reviewers/email-reviewer-prompt.md,
brand-voice-publication-reviewer,Publication Reviewer,"Reviews blog posts, website content, internal communications, and thought leadership for brand voice and publication readiness.",Brand Voice,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a7b3cfcc0948191bbda00117ae1ff0e,https://claude.ai/customize/skills?selectedId=skill_01TkXn7FhUfAhGxEg95d9T6T,https://lenai.mmc.com/chat/assistant/6a7d9dc9e036f4c4810d7384,https://chatgpt.com/g/g-6a7eec57981c819193478347f3aa14da-publication-reviewer,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/brand-voice/brand-voice-reviewers/publication-reviewer-prompt.md,
brand-voice-presentation-reviewer,Presentation Reviewer,"Reviews presentation content for brand voice, narrative strength, editorial quality, visual-brand alignment, and executive-readiness.",Brand Voice,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a7b3adb7d3c8191bd8a5ebe5601bfb6,https://claude.ai/customize/skills?selectedId=skill_01UGSnyVBEyjo7KNFUEtVL7s,https://lenai.mmc.com/chat/assistant/6a7d9b75cf683e5651a30af4,https://chatgpt.com/g/g-6a7eed327ce081919cb397892a25ebec-presentation-reviewer,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/brand-voice/brand-voice-reviewers/presentation-reviewer-prompt.md,
brand-voice-social-media-reviewer,Social Media Reviewer,"Reviews social media content for brand voice, platform fit, editorial quality, executive relevance, and publication readiness.",Brand Voice,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a7daf4f79a08191b72e9da3a301fc6f,https://claude.ai/customize/skills?selectedId=skill_01KjBn6ytPGg39a1q7istZnC,https://lenai.mmc.com/chat/assistant/6a7d9ecf5f9332dd93fee5cb,https://chatgpt.com/g/g-6a7eea95ff0c8191b86ffac0d45a9030-social-media-reviewer,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/brand-voice/brand-voice-reviewers/social-media-reviewer-prompt.md,
create-brand-social-media-assets,Brand Social Media Assets,"Create Oliver Wyman social assets using established dimensions, colours, typography, spacing, and layout rules.",Creative Production,Marketing,"ChatGPT Skill; Claude Skill; LenAI Agent, Custom GPT; GitHub Source",https://chatgpt.com/skills?skill_id=6a5a3cdc84ac81919aa82ace15bd100c,https://claude.ai/customize/skills?selectedId=skill_01PYBaP11gKsEDzndaUoZwmY,,,https://github.com/ow-creative-tech-team/prompt-garden/tree/main/prompts/text-to-text/skills/brand-social-media-assets,
powerpoint-proofing,PowerPoint Proofing,"Reports copy, brand, layout, typography, color, chart, table, shape, cover-slide, and template issues directly in the response, with an optional proofing report PDF or HTML artifact. ",Presentation,Creative Studio,ChatGPT Skill; Claude Skill; GitHub Source,https://chatgpt.com/skills?skill_id=6a0b25a3251481919e925b02829e3321,https://claude.ai/customize/skills?selectedId=skill_01FFFRVp3YioXcf584zjAZ8p,,,https://github.com/ow-creative-tech-team/prompt-garden/tree/main/prompts/text-to-text/skills/powerpoint/powerpoint-proofing,
weavy-workflows,Text-to-Weavy,"A workflow-building skill that generates complete, copy-pasteable JSON templates for creative automation pipelines in Weavy.",Workflow Automation,Creative Studio,ChatGPT Skill; Claude Skill; GitHub Source,https://chatgpt.com/skills?skill_id=6a7b465f757c819196d8f73e6238d75f,https://claude.ai/customize/skills?selectedId=skill_01MEW9coVE9eb1p7D1uqApk2,,,https://github.com/ow-creative-tech-team/prompt-garden/tree/main/prompts/text-to-text/skills/text-to-weavy-skill,
european-portuguese-business-translator,European Portuguese Business Translator,Translate business content into European Portuguese,Translation,Marketing,LenAI Agent; Custom GPT; GitHub Source,,,https://lenai.mmc.com/chat/assistant/69135cf3a2a411bc716cf641,https://chatgpt.com/g/g-6a79dbc51ef48191ae9bc5032a1e9505-european-portuguese-business-translator,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/translation/translation-prompts-v1/translators/european-portuguese-business-translator.md,
french-business-translator,French Business Translator,Translate business content into French,Translation,Marketing,LenAI Agent; Custom GPT; GitHub Source,,,https://lenai.mmc.com/chat/assistant/69e8ff7737816c8dbb86ee9a,https://chatgpt.com/g/g-6a0b27fb618c819182e47c0a7d1ca442-french-business-translator,https://github.com/ow-creative-tech-team/prompt-garden/blob/main/prompts/text-to-text/translation/translation-prompts-v1/translators/french-business-translator.md,
